iter	Passed	Remaining
0	16	16005
1	31	15699
2	46	15507
3	62	15570
4	78	15535
5	93	15541
6	108	15456
7	124	15392
8	137	15179
9	152	15085
10	165	14913
11	179	14782
12	192	14653
13	205	14495
14	219	14400
15	232	14309
16	246	14277
17	259	14161
18	272	14054
19	284	13921
20	297	13861
21	310	13785
22	323	13741
23	336	13665
24	349	13634
25	363	13624
26	377	13594
27	391	13591
28	404	13541
29	417	13504
30	431	13474
31	445	13461
32	459	13460
33	472	13429
34	485	13391
35	499	13378
36	512	13343
37	527	13342
38	541	13345
39	554	13316
40	568	13308
41	582	13291
42	596	13267
43	609	13244
44	623	13227
45	636	13204
46	649	13176
47	663	13155
48	677	13145
49	691	13129
50	704	13105
51	716	13061
52	730	13048
53	743	13030
54	756	13004
55	769	12975
56	783	12961
57	797	12949
58	810	12931
59	823	12905
60	836	12884
61	849	12848
62	877	13053
63	890	13023
64	903	12994
65	915	12959
66	928	12931
67	941	12908
68	955	12885
69	968	12873
70	981	12837
71	995	12830
72	1008	12808
73	1021	12779
74	1034	12758
75	1047	12729
76	1060	12709
77	1074	12696
78	1087	12679
79	1100	12657
80	1112	12625
81	1126	12610
82	1139	12589
83	1152	12567
84	1165	12544
85	1178	12521
86	1191	12506
87	1205	12491
88	1218	12471
89	1231	12447
90	1243	12418
91	1256	12400
92	1269	12383
93	1283	12372
94	1297	12356
95	1310	12338
96	1323	12318
97	1336	12298
98	1349	12282
99	1363	12267
100	1375	12245
101	1389	12233
102	1402	12217
103	1416	12199
104	1428	12177
105	1441	12157
106	1455	12144
107	1468	12128
108	1482	12115
109	1494	12095
110	1508	12081
111	1521	12062
112	1534	12043
113	1547	12029
114	1560	12008
115	1573	11988
116	1585	11969
117	1599	11952
118	1612	11938
119	1625	11919
120	1638	11902
121	1651	11883
122	1664	11869
123	1677	11848
124	1689	11827
125	1703	11813
126	1716	11801
127	1730	11786
128	1742	11764
129	1754	11743
130	1768	11728
131	1780	11708
132	1793	11692
133	1806	11675
134	1820	11664
135	1834	11652
136	1846	11631
137	1859	11617
138	1872	11600
139	1885	11584
140	1899	11569
141	1912	11553
142	1925	11540
143	1938	11523
