iter	Passed	Remaining
144	1950	11500
145	1963	11482
146	1976	11469
147	1989	11451
148	2001	11433
149	2015	11418
150	2028	11402
151	2041	11387
152	2054	11373
153	2067	11357
154	2080	11343
155	2093	11324
156	2105	11307
157	2119	11294
158	2131	11271
159	2143	11255
160	2157	11242
161	2170	11227
162	2183	11211
163	2196	11196
164	2208	11176
165	2223	11168
166	2236	11156
167	2249	11141
168	2263	11128
169	2276	11112
170	2289	11099
171	2302	11082
172	2314	11065
173	2327	11049
174	2340	11033
175	2354	11022
176	2367	11007
177	2380	10992
178	2392	10973
179	2404	10954
180	2417	10939
181	2431	10926
182	2443	10909
183	2456	10893
184	2469	10878
185	2482	10862
186	2494	10844
187	2506	10826
188	2519	10810
189	2532	10795
190	2545	10783
191	2560	10773
192	2572	10754
193	2585	10740
194	2597	10722
195	2610	10707
196	2623	10693
197	2636	10678
198	2650	10666
199	2663	10655
200	2677	10642
201	2689	10626
202	2702	10609
203	2714	10592
204	2727	10578
205	2740	10563
206	2753	10547
207	2767	10536
208	2780	10521
209	2792	10505
210	2805	10489
211	2817	10472
212	2830	10457
213	2843	10443
214	2857	10431
215	2868	10412
216	2883	10402
217	2895	10386
218	2908	10371
219	2921	10357
220	2933	10341
221	2947	10327
222	2959	10313
223	2973	10301
224	2986	10287
225	2999	10271
226	3011	10255
227	3024	10241
228	3038	10228
229	3050	10212
230	3063	10198
231	3077	10186
232	3089	10169
233	3101	10154
234	3114	10137
235	3128	10126
236	3141	10112
237	3154	10099
238	3166	10083
239	3179	10068
240	3193	10057
241	3206	10043
242	3219	10030
243	3232	10015
244	3245	10000
245	3258	9987
246	3272	9975
247	3285	9961
248	3297	9945
249	3310	9932
250	3323	9917
251	3337	9905
252	3349	9889
253	3362	9874
254	3373	9857
255	3387	9844
256	3400	9830
257	3412	9815
258	3426	9802
259	3439	9788
260	3452	9774
261	3465	9762
262	3477	9745
263	3490	9731
264	3503	9716
265	3516	9702
266	3529	9689
267	3542	9675
268	3554	9660
269	3567	9646
270	3580	9630
271	3593	9617
272	3607	9605
273	3620	9592
274	3633	9578
275	3646	9565
276	3658	9549
277	3671	9536
278	3684	9521
279	3697	9506
280	3709	9492
281	3722	9478
282	3735	9464
283	3748	9450
284	3760	9435
285	3773	9421
286	3786	9406
287	3798	9390
288	3811	9376
289	3824	9363
290	3838	9351
291	3851	9339
292	3864	9325
293	3876	9310
294	3889	9294
295	3902	9281
296	3916	9269
297	3929	9255
298	3941	9241
299	3954	9226
300	3967	9212
301	3979	9196
302	3991	9180
303	4003	9166
304	4017	9155
305	4030	9141
306	4044	9129
307	4056	9114
308	4069	9100
309	4081	9085
310	4094	9070
311	4107	9057
312	4119	9041
313	4133	9031
314	4146	9017
315	4160	9004
316	4172	8989
317	4184	8974
318	4197	8961
319	4210	8947
320	4223	8934
321	4237	8922
322	4250	8908
323	4263	8895
324	4275	8880
325	4288	8867
326	4300	8851
327	4313	8838
328	4326	8824
329	4339	8811
330	4353	8798
331	4366	8785
332	4378	8770
333	4391	8756
334	4403	8741
335	4416	8727
336	4429	8713
337	4442	8701
338	4456	8688
339	4468	8673
340	4480	8658
341	4493	8645
342	4506	8631
343	4519	8618
344	4532	8604
345	4546	8593
346	4560	8581
347	4572	8566
348	4585	8553
349	4598	8540
350	4611	8526
351	4625	8514
352	4638	8502
353	4652	8490
354	4667	8480
355	4679	8465
356	4691	8450
357	4704	8435
358	4716	8422
359	4729	8408
360	4741	8393
361	4755	8380
362	4767	8365
363	4780	8353
364	4792	8337
365	4805	8324
366	4819	8312
367	4832	8299
368	4845	8285
369	4858	8272
370	4871	8259
371	4884	8245
372	4898	8233
373	4910	8219
374	4923	8205
375	4936	8192
376	4948	8177
377	4961	8164
378	4974	8151
379	4988	8138
380	5001	8125
381	5014	8112
382	5027	8099
383	5040	8085
384	5053	8072
385	5066	8059
386	5079	8046
387	5092	8033
388	5105	8018
389	5118	8005
390	5131	7992
391	5145	7980
392	5157	7966
393	5170	7952
394	5183	7938
395	5196	7925
396	5209	7913
397	5222	7898
398	5235	7886
399	5249	7873
400	5261	7859
401	5274	7846
402	5287	7833
403	5300	7819
404	5313	7806
405	5327	7794
406	5340	7780
407	5352	7766
408	5365	7752
409	5378	7739
410	5391	7725
411	5403	7711
412	5416	7698
413	5429	7685
414	5443	7672
415	5456	7660
416	5468	7645
417	5482	7633
418	5495	7619
419	5508	7606
420	5521	7594
421	5534	7580
422	5547	7567
423	5560	7553
424	5572	7539
425	5585	7525
426	5598	7512
427	5611	7500
428	5624	7486
429	5637	7473
430	5650	7459
431	5663	7446
432	5675	7432
433	5688	7419
434	5701	7405
435	5714	7391
436	5727	7379
437	5740	7365
438	5752	7351
439	5764	7337
440	5778	7324
441	5791	7311
442	5805	7299
443	5819	7287
444	5831	7272
445	5844	7259
446	5857	7246
447	5870	7233
448	5884	7220
449	5896	7207
450	5910	7194
451	5923	7181
452	5936	7168
453	5948	7154
454	5961	7140
455	5973	7126
456	5986	7113
457	6000	7100
458	6012	7086
459	6026	7074
460	6039	7061
461	6052	7047
462	6065	7034
463	6077	7020
464	6091	7008
465	6104	6995
466	6118	6983
467	6131	6969
468	6143	6956
469	6157	6943
470	6170	6930
471	6183	6917
472	6196	6903
473	6208	6889
474	6223	6878
475	6236	6865
476	6249	6851
477	6262	6838
478	6274	6824
479	6287	6811
480	6300	6798
481	6313	6785
482	6326	6771
483	6339	6758
484	6352	6745
485	6365	6732
486	6378	6718
487	6390	6704
488	6404	6692
489	6417	6679
490	6431	6667
491	6444	6653
492	6472	6656
493	6485	6643
494	6498	6629
495	6510	6616
496	6523	6601
497	6536	6588
498	6549	6575
499	6562	6562
500	6573	6547
501	6586	6534
502	6599	6520
503	6612	6507
504	6625	6494
505	6638	6480
506	6652	6468
507	6665	6455
508	6678	6441
509	6691	6428
510	6703	6415
511	6716	6401
512	6730	6388
513	6742	6375
514	6754	6361
515	6767	6348
516	6781	6335
517	6795	6322
518	6808	6310
519	6820	6296
520	6833	6282
521	6846	6268
522	6858	6255
523	6871	6241
524	6883	6228
525	6897	6215
526	6909	6201
527	6922	6188
528	6935	6175
529	6948	6161
530	6960	6148
531	6972	6133
532	6985	6120
533	6998	6107
534	7011	6094
535	7024	6081
536	7036	6067
537	7049	6053
538	7061	6040
539	7075	6027
540	7089	6014
541	7101	6000
542	7114	5987
543	7127	5974
544	7140	5961
545	7153	5948
546	7165	5934
547	7178	5921
548	7192	5908
549	7205	5895
550	7218	5882
551	7230	5868
552	7243	5855
553	7256	5842
554	7269	5828
555	7282	5815
556	7296	5803
557	7309	5789
558	7322	5776
559	7335	5763
560	7347	5749
561	7360	5736
562	7373	5723
563	7386	5710
564	7399	5697
565	7413	5684
566	7427	5672
567	7440	5658
568	7453	5645
569	7465	5632
570	7478	5618
571	7491	5605
572	7504	5592
573	7517	5579
574	7530	5565
575	7542	5552
576	7556	5539
577	7569	5526
578	7582	5513
579	7595	5500
580	7608	5487
581	7621	5473
582	7635	5461
583	7647	5447
584	7659	5433
585	7677	5424
586	7690	5411
587	7703	5397
588	7717	5385
589	7729	5371
590	7741	5357
591	7753	5343
592	7765	5330
593	7778	5316
594	7790	5302
595	7803	5289
596	7817	5276
597	7829	5263
598	7842	5250
599	7855	5236
600	7868	5223
601	7881	5210
602	7894	5197
603	7907	5184
604	7921	5171
605	7935	5159
606	7948	5146
607	7961	5133
608	7973	5119
609	7986	5106
610	8000	5093
611	8013	5080
612	8026	5067
613	8039	5054
614	8052	5040
615	8065	5027
616	8078	5014
617	8090	5001
618	8103	4988
619	8116	4974
620	8131	4962
621	8145	4949
622	8158	4937
623	8171	4924
624	8185	4911
625	8198	4897
626	8211	4884
627	8223	4871
628	8235	4857
629	8248	4844
630	8261	4831
631	8274	4818
632	8286	4804
633	8299	4791
634	8312	4777
635	8325	4764
636	8337	4751
637	8351	4738
638	8364	4725
639	8377	4712
640	8390	4699
641	8402	4685
642	8415	4672
643	8428	4659
644	8441	4646
645	8454	4632
646	8466	4619
647	8480	4606
648	8493	4593
649	8505	4580
650	8518	4566
651	8531	4553
652	8544	4540
653	8559	4528
654	8572	4515
655	8585	4502
656	8597	4488
657	8610	4475
658	8623	4462
659	8636	4449
660	8650	4436
661	8663	4423
662	8676	4410
663	8689	4397
664	8703	4384
665	8716	4371
666	8728	4357
667	8741	4344
668	8754	4331
669	8768	4318
670	8781	4305
671	8793	4292
672	8807	4279
673	8820	4266
674	8833	4252
675	8845	4239
676	8857	4226
677	8870	4212
678	8883	4199
679	8896	4186
680	8909	4173
681	8922	4160
682	8934	4146
683	8947	4133
684	8959	4120
685	8973	4107
686	8986	4094
687	8999	4081
688	9012	4068
689	9024	4054
690	9037	4041
691	9050	4028
692	9061	4014
693	9073	4000
694	9087	3987
695	9101	3975
696	9114	3962
697	9127	3948
698	9139	3935
699	9152	3922
700	9165	3909
701	9178	3896
702	9191	3883
703	9204	3870
704	9217	3856
705	9229	3843
706	9241	3830
707	9254	3816
708	9267	3803
709	9279	3790
710	9293	3777
711	9313	3767
712	9325	3753
713	9337	3740
714	9349	3726
715	9363	3713
716	9376	3700
717	9388	3687
718	9401	3674
719	9415	3661
720	9427	3648
721	9440	3635
722	9453	3621
723	9466	3608
724	9478	3595
725	9491	3582
726	9503	3568
727	9517	3556
728	9530	3542
729	9542	3529
730	9555	3516
731	9567	3502
732	9580	3489
733	9592	3476
734	9605	3463
735	9618	3450
736	9632	3437
737	9643	3423
738	9657	3410
739	9669	3397
740	9682	3384
741	9695	3371
742	9707	3357
743	9719	3344
744	9733	3331
745	9746	3318
746	9759	3305
747	9772	3292
748	9785	3279
749	9797	3265
750	9810	3252
751	9823	3239
752	9837	3226
753	9849	3213
754	9862	3200
755	9874	3187
756	9887	3174
757	9899	3160
758	9912	3147
759	9925	3134
760	9938	3121
761	9951	3108
762	9964	3095
763	9976	3081
764	9989	3068
765	10003	3055
766	10016	3042
767	10027	3029
768	10041	3016
769	10054	3003
770	10067	2990
771	10080	2977
772	10092	2963
773	10106	2950
774	10119	2937
775	10132	2924
776	10144	2911
777	10158	2898
778	10171	2885
779	10184	2872
780	10196	2859
781	10209	2846
782	10221	2832
783	10234	2819
784	10247	2806
785	10261	2793
786	10273	2780
787	10286	2767
788	10299	2754
789	10312	2741
790	10324	2727
791	10337	2714
792	10350	2701
793	10364	2688
794	10377	2676
795	10390	2662
796	10402	2649
797	10415	2636
798	10428	2623
799	10440	2610
800	10452	2596
801	10465	2583
802	10478	2570
803	10490	2557
804	10503	2544
805	10516	2531
806	10528	2518
807	10541	2504
808	10553	2491
809	10567	2478
810	10580	2465
811	10592	2452
812	10604	2439
813	10617	2426
814	10630	2412
815	10642	2399
816	10655	2386
817	10667	2373
818	10680	2360
819	10693	2347
820	10706	2334
821	10718	2321
822	10731	2308
823	10744	2295
824	10758	2282
825	10770	2268
826	10783	2255
827	10796	2242
828	10808	2229
829	10822	2216
830	10834	2203
831	10847	2190
832	10859	2177
833	10872	2164
834	10885	2151
835	10897	2137
836	10910	2124
837	10923	2111
838	10936	2098
839	10948	2085
840	10960	2072
841	10974	2059
842	10988	2046
843	11001	2033
844	11014	2020
845	11027	2007
846	11041	1994
847	11053	1981
848	11065	1968
849	11079	1955
850	11093	1942
851	11105	1929
852	11119	1916
853	11131	1902
854	11144	1890
855	11157	1877
856	11170	1863
857	11184	1850
858	11197	1838
859	11211	1825
860	11224	1812
861	11237	1799
862	11250	1785
863	11262	1772
864	11275	1759
865	11288	1746
866	11302	1733
867	11314	1720
868	11327	1707
869	11341	1694
870	11354	1681
871	11366	1668
872	11378	1655
873	11391	1642
874	11405	1629
875	11417	1616
876	11430	1603
877	11442	1589
878	11455	1576
879	11468	1563
880	11480	1550
881	11491	1537
882	11504	1524
883	11517	1511
884	11528	1498
885	11541	1485
886	11556	1472
887	11569	1459
888	11582	1446
889	11594	1433
890	11607	1419
891	11620	1407
892	11634	1394
893	11647	1380
894	11659	1367
895	11673	1354
896	11685	1341
897	11698	1328
898	11711	1315
899	11724	1302
900	11736	1289
901	11749	1276
902	11763	1263
903	11775	1250
904	11787	1237
905	11800	1224
906	11814	1211
907	11827	1198
908	11839	1185
909	11852	1172
910	11865	1159
911	11878	1146
912	11891	1133
913	11904	1120
914	11916	1107
915	11930	1094
916	11944	1081
917	11955	1067
918	11969	1054
919	11981	1041
920	11994	1028
921	12007	1015
922	12020	1002
923	12032	989
924	12046	976
925	12059	963
926	12071	950
927	12084	937
928	12096	924
929	12108	911
930	12120	898
931	12133	885
932	12146	872
933	12159	859
934	12171	846
935	12183	833
936	12195	820
937	12209	807
938	12221	793
939	12234	780
940	12247	767
941	12258	754
942	12271	741
943	12283	728
944	12296	715
945	12309	702
946	12321	689
947	12334	676
948	12347	663
949	12360	650
950	12373	637
951	12385	624
952	12398	611
953	12411	598
954	12424	585
955	12437	572
956	12449	559
957	12463	546
958	12475	533
959	12488	520
960	12499	507
961	12512	494
962	12532	481
963	12545	468
964	12558	455
965	12570	442
966	12582	429
967	12595	416
968	12609	403
969	12622	390
970	12634	377
971	12647	364
972	12659	351
973	12672	338
974	12685	325
975	12698	312
976	12711	299
977	12724	286
978	12737	273
979	12750	260
980	12763	247
981	12776	234
982	12789	221
983	12802	208
984	12814	195
985	12827	182
986	12840	169
987	12853	156
988	12866	143
989	12879	130
990	12892	117
991	12906	104
992	12919	91
993	12933	78
994	12945	65
995	12958	52
996	12970	39
997	12983	26
998	12996	13
999	13009	0
